2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:30 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-24 17:33:31 Warning: Redis::lPop(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex/lib/Resque.php, line 136]
2025-02-25 08:19:11 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-25 08:19:11 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-25 08:19:11 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-25 08:19:11 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-25 08:19:11 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-25 08:19:11 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-25 08:19:11 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
2025-02-25 08:19:11 Warning: Redis::zRangeByScore(): php_network_getaddresses: getaddrinfo failed: Name or service not known in [/var/www/MISP/app/Vendor/kamisama/php-resque-ex-scheduler/lib/ResqueScheduler/ResqueScheduler.php, line 248]
